2025-03-02,28.9,Sunny,67.3
2025-03-03,32.1,Partly Cloudy,68.3
2025-03-04,31.6,Cloudy,54.8
2025-03-05,28.4,Windy,70.5
2025-03-06,31.8,Partly Cloudy,57.5
2025-03-07,32.0,Cloudy,71.9
2025-03-08,26.9,Rainy,48.4
2025-03-09,23.5,Windy,46.3
2025-03-10,29.3,Sunny,62.8
2025-03-11,19.4,Partly Cloudy,71.9
2025-03-12,23.4,Sunny,72.7
2025-03-13,29.5,Partly Cloudy,43.2
2025-03-14,25.2,Windy,51.7
2025-03-15,26.9,Windy,47.5
2025-03-16,23.5,Partly Cloudy,54.4
2025-03-17,27.7,Partly Cloudy,67.8
2025-03-18,25.0,Rainy,73.1
2025-03-19,18.8,Windy,71.5
2025-03-20,22.2,Windy,47.8
2025-03-21,32.4,Partly Cloudy,59.3
2025-03-22,24.3,Partly Cloudy,65.3
2025-03-23,27.5,Rainy,42.8
2025-03-24,23.6,Cloudy,74.9
2025-03-25,21.8,Windy,55.4
2025-03-26,28.5,Rainy,76.3
2025-03-27,20.6,Rainy,51.4
2025-03-28,25.0,Rainy,52.2
2025-03-01,29.9,Partly Cloudy,67.8
2025-03-02,25.5,Windy,41.1
2025-04-03,25.0,Cloudy,58.4
